,label,1hour_prediction,label,2hour_prediction
655,29.0,29.201,26.0,25.674
656,26.0,25.497,23.0,22.67
657,23.0,22.222,19.0,19.088
658,19.0,19.126,35.0,34.47
659,35.0,34.655,25.0,26.327
660,25.0,26.195,23.0,23.633
661,23.0,24.051,28.0,27.835
662,28.0,28.136,34.0,34.189
663,34.0,33.909,35.0,35.968
664,35.0,36.198,42.0,41.442
665,42.0,41.755,33.0,31.443
666,33.0,28.239,27.0,26.601
667,27.0,26.929,27.0,26.965
668,27.0,26.913,25.0,25.222
669,25.0,25.716,22.0,21.817
670,22.0,21.979,7.0,6.323
671,7.0,6.422,5.0,5.236
672,5.0,5.716,1.0,1.031
673,1.0,1.166,0.0,0.215
674,0.0,0.236,2.0,2.546
675,2.0,2.638,18.0,18.497
676,18.0,18.598,32.0,32.466
677,32.0,32.355,28.0,28.522
678,28.0,29.272,32.0,30.935
679,32.0,31.138,26.0,25.722
680,26.0,25.911,21.0,20.687
681,21.0,20.585,16.0,15.802
682,16.0,16.016,28.0,28.8
683,28.0,28.774,24.0,24.799
684,24.0,24.983,23.0,24.644
685,23.0,25.078,33.0,31.598
686,33.0,31.439,35.0,34.089
687,35.0,33.8,36.0,36.695
688,36.0,36.465,38.0,38.917
689,38.0,38.796,31.0,29.537
690,31.0,29.874,28.0,27.22
691,28.0,27.286,25.0,26.071
692,25.0,26.318,25.0,24.631
693,25.0,24.899,18.0,18.081
694,18.0,18.702,5.0,5.197
695,5.0,5.057,5.0,4.935
696,5.0,4.62,1.0,1.05
697,1.0,0.991,1.0,1.291
698,1.0,1.236,3.0,2.902
699,3.0,3.11,22.0,22.124
700,22.0,22.239,37.0,33.415
701,37.0,33.414,33.0,31.817
702,33.0,31.992,25.0,25.738
703,25.0,26.066,23.0,25.718
704,23.0,23.767,20.0,19.968
705,20.0,19.929,16.0,17.276
706,16.0,17.522,34.0,33.528
707,34.0,32.895,20.0,20.444
708,20.0,22.131,27.0,23.993
709,27.0,24.075,22.0,26.305
710,22.0,23.843,27.0,27.775
711,27.0,27.768,37.0,37.166
712,37.0,37.119,35.0,36.343
713,35.0,36.295,32.0,31.889
714,32.0,31.669,30.0,29.125
715,30.0,29.353,29.0,28.256
